,七股區,下營區,中西區,仁德區,佳里區,六甲區,北區,北門區,南化區,南區,善化區,大內區,學甲區,安南區,安定區,安平區,官田區,將軍區,山上區,左鎮區,後壁區,新化區,新市區,新營區,東區,東山區,柳營區,楠西區,歸仁區,永康區,玉井區,白河區,西港區,關廟區,鹽水區,麻豆區,龍崎區
大內區,0.00461847502362116,0.08763996711495234,0.012784080642630459,0.010264806671847454,0.031057709277168066,0.2045181113101534,0.0201249296133148,0.0037543119996178804,0.10812748756851435,0.005806330106292844,0.18897544947595185,0.0,0.019230740687391584,0.011061772082329462,0.0716456927183569,0.006428148898311577,0.23729766920956621,0.008106008928138793,0.25551787490116773,0.13891401410262413,0.021122875233034882,0.1285019562510204,0.14530663557522777,0.04857203209329596,0.018595814330431375,0.1045273839762687,0.11944047212481973,0.14806938118208296,0.021491784901533615,0.05414562922736925,0.2392517074299554,0.025655658437773704,0.04745620825762342,0.03592278287031291,0.029726888309046504,0.08811832097298665,0.04246430417932678
學甲區,0.08676320896127156,0.21721149384685576,0.008440379846200689,0.0013948896283896121,0.20215274921967266,0.04975275519578364,0.012376798950234918,0.24805645461255252,0.00027722200271310837,0.002613072811241402,0.0831809508999903,0.019230740687391584,0.0,0.03059443091684997,0.07725511448889655,0.007094834208080415,0.0712073249760365,0.2332089869037017,0.016282287310630136,0.0017170910379931004,0.04543406865780005,0.00793851008010543,0.03727240575502209,0.15004625570576777,0.005296251631211434,0.012854388648670155,0.07779934210964157,0.001360572469057145,0.0011262518655796785,0.015565630367878846,0.0031695013853866756,0.0056443689417236985,0.12351754740092752,0.0009235909367863401,0.22116451035474186,0.19874718777569225,0.00038024769844986837
安南區,0.19566924649497974,0.027950218213012985,0.23784007351804054,0.11143234447048676,0.13680721567083115,0.0049537994068325425,0.2427603616983705,0.017127715999562858,0.00019944264397790676,0.1766441708648029,0.07091726163612087,0.011061772082329462,0.03059443091684997,0.0,0.19833875525866554,0.24674455954275992,0.017283746814543272,0.07367326542448129,0.029225206266521836,0.012903892923964124,0.0002589706989621611,0.0628924286947126,0.11349320970064412,0.0037680992472024517,0.18095687304885602,0.0003455649628140366,0.0033456280737523005,0.00026144824607687584,0.06875474473511989,0.18148302234673314,0.002934315827882308,2.9282280127285414e-05,0.19752277011462102,0.040938443293783364,0.0068006570354257915,0.07950206489709814,0.014729433733554592
安定區,0.1325386961049442,0.11140785422471967,0.1571654008984278,0.07736679915834756,0.20777693957615267,0.043934330482588956,0.1899003974952211,0.03289396089921678,0.0030934424891632937,0.09169840777445935,0.2197309012319153,0.0716456927183569,0.07725511448889655,0.19833875525866554,0.0,0.12831330117386314,0.1001591734397051,0.09774763389091438,0.11932978234127387,0.048081134378135194,0.0038296226785315577,0.1416379912492993,0.2462354185796631,0.027340633262247015,0.14222462228992122,0.006406039710982971,0.031088821669574433,0.004734577027716974,0.07085308580145809,0.22032718514033428,0.025112023854737688,0.0008908173239072866,0.2782018082189589,0.05948570753750684,0.03492119415092118,0.2054447726740763,0.03101106656669688
安平區,0.09465177294099995,0.008103800461588493,0.28787583980408793,0.20050865908163826,0.0543865672114807,0.0016658431736556343,0.2708141863575715,0.003169496049144354,0.0001638685747418136,0.27379685494923994,0.03807344665316827,0.006428148898311577,0.007094834208080415,0.24674455954275992,0.12831330117386314,0.0,0.007080571181826306,0.021270353266396504,0.022402707651587337,0.01625300343482304,3.5672335111604204e-05,0.0693414538192308,0.0871777524881346,0.0007200800501471184,0.24771104585355924,8.994424539681808e-05,0.000839080151832524,0.0001388387442756158,0.12635471062215856,0.191168746721829,0.0022084544172668204,4.848189592771877e-06,0.10515404090397187,0.07425156951801892,0.0012604989083035186,0.030622869103890917,0.028450844446081824
官田區,0.013406402155735318,0.19993877463565393,0.012621393199938198,0.006177029329701766,0.07730983498705332,0.2666295941942375,0.02019153074895206,0.02072740419092873,0.037283951666398606,0.004796015798056955,0.23384989473866746,0.23729766920956621,0.0712073249760365,0.017283746814543272,0.1001591734397051,0.007080571181826306,0.0,0.03148844562289741,0.18139792647578792,0.05709621667061722,0.06227595092206718,0.07876079803278274,0.13933090316968777,0.13649856800418367,0.014595120412398499,0.12977975394550825,0.2157936285474554,0.0796444764055431,0.010437649686636867,0.04711188007794388,0.12175910994769645,0.043015576175813856,0.08655212310735921,0.015030542163941858,0.10224088877235256,0.1765255594157751,0.01380213558594208
將軍區,0.19446251873313786,0.12273241262781646,0.02114164909357483,0.0035046438998825764,0.24275541041343085,0.01568518006933986,0.027100337789364166,0.2313251482867703,6.29557993637962e-05,0.008039072456480376,0.06039265858665375,0.008106008928138793,0.2332089869037017,0.07367326542448129,0.09774763389091438,0.021270353266396504,0.03148844562289741,0.0,0.00996815339017812,0.0011836209045033175,0.008927917385992145,0.00786953785628828,0.03663246389402907,0.05192082556364081,0.011797153196348215,0.002274505678807428,0.02299436776685096,0.00026329598255286934,0.0021102005801297086,0.02438818504347441,0.001113260902398883,0.0006586124816876475,0.16163370584029907,0.001336369240863128,0.09882037589931567,0.15983711767492223,0.0004195293882927946
山上區,0.00953255404216726,0.06741359124560706,0.04012887256244393,0.03764178120075344,0.041566156636456755,0.1193239013458731,0.05667059453559569,0.003232092612415008,0.07393414156552089,0.02256469802567667,0.21306570005274628,0.25551787490116773,0.016282287310630136,0.029225206266521836,0.11932978234127387,0.022402707651587337,0.18139792647578792,0.00996815339017812,0.0,0.21162035725432535,0.00665207370828955,0.2288770569346331,0.2238621218064564,0.02400806971862875,0.057247983717135985,0.03967693580029252,0.05994036880238571,0.0780025186159614,0.06717827829624859,0.12312429325444488,0.20294605789517525,0.006439152520549041,0.07471284599085772,0.09635561437871006,0.016807672105844853,0.09261414774993312,0.09994101861739675
左鎮區,0.0019504990269584152,0.011376591427863158,0.03118138207544796,0.05306912302316619,0.00822336741759575,0.0321558863546007,0.041205781951829314,0.00022481368669241786,0.08776964549082636,0.0233422493378215,0.08184322930447985,0.13891401410262413,0.0017170910379931004,0.012903892923964124,0.048081134378135194,0.01625300343482304,0.05709621667061722,0.0011836209045033175,0.21162035725432535,0.0,0.0005701329045973832,0.22798637021091253,0.1298716472729053,0.0026568023133588426,0.056242297219045036,0.00926379226557897,0.010671493474244755,0.05132666366028931,0.1105753674441708,0.09449578554997498,0.1758162747913005,0.0009059601723166328,0.022131831147875872,0.17329690786497084,0.0015957290808277407,0.02067194429370915,0.22141992104541702
後壁區,0.0007838386656715583,0.08641748595945331,7.067172664249517e-05,1.2845199729333822e-05,0.01023445954410118,0.10817583059932265,0.00014871224350640952,0.021101687989499882,0.0019361269003891602,1.3008804290331184e-05,0.01905983120804658,0.021122875233034882,0.04543406865780005,0.0002589706989621611,0.0038296226785315577,3.5672335111604204e-05,0.06227595092206718,0.008927917385992145,0.00665207370828955,0.0005701329045973832,0.0,0.0009057163876261736,0.003964178691523306,0.21589265730451238,6.394589375820511e-05,0.13510247158566957,0.18821334320167146,0.013360512329005501,2.402334640597998e-05,0.00047730583519603383,0.006257992548210421,0.17221557764284065,0.0052868321729283105,4.094667730607538e-05,0.15258292531081863,0.031210918475148116,3.7057081781804616e-05
