,七股區,下營區,中西區,仁德區,佳里區,六甲區,北區,北門區,南化區,南區,善化區,大內區,學甲區,安南區,安定區,安平區,官田區,將軍區,山上區,左鎮區,後壁區,新化區,新市區,新營區,東區,東山區,柳營區,楠西區,歸仁區,永康區,玉井區,白河區,西港區,關廟區,鹽水區,麻豆區,龍崎區
善化區,0.15576037827245284,0.6081494652079301,0.1921450186846059,0.10148039958034247,0.4927797609449841,0.4919356877118034,0.2681260293388929,0.09124814036255927,0.060337648334627916,0.09204069350475694,0.0,0.6299181649198395,0.277269836333301,0.23639087212040294,0.7324363374397177,0.12691148884389425,0.7794996491288916,0.2013088619555125,0.710219000175821,0.2728107643482662,0.0635327706934886,0.5098899044369612,0.8371089940734093,0.24674188750954923,0.2044364925727991,0.1354863579930041,0.35573451560700187,0.10287868850885365,0.13205043350871468,0.45741731865483665,0.2875403812284497,0.028347095588281752,0.6293638811770326,0.15017802955627865,0.23153774762880094,0.7786063118539643,0.10919722599258089
大內區,0.015394916745403869,0.2921332237165078,0.04261360214210153,0.034216022239491516,0.10352569759056023,0.6817270377005114,0.06708309871104934,0.012514373332059603,0.3604249585617145,0.01935443368764281,0.6299181649198395,0.0,0.06410246895797195,0.03687257360776487,0.23881897572785635,0.021427162994371925,0.7909922306985541,0.027020029760462645,0.8517262496705591,0.4630467136754138,0.07040958411011627,0.428339854170068,0.48435545191742596,0.16190677364431988,0.06198604776810459,0.348424613254229,0.39813490708273247,0.4935646039402765,0.07163928300511205,0.1804854307578975,0.7975056914331847,0.08551886145924568,0.15818736085874474,0.11974260956770971,0.09908962769682168,0.29372773657662216,0.14154768059775594
學甲區,0.28921069653757187,0.7240383128228526,0.028134599487335633,0.004649632094632041,0.6738424973989089,0.16584251731927882,0.041255996500783064,0.8268548487085084,0.000924073342377028,0.008710242704138007,0.277269836333301,0.06410246895797195,0.0,0.1019814363894999,0.2575170482963218,0.023649447360268052,0.2373577499201217,0.7773632896790057,0.05427429103543379,0.005723636793310335,0.15144689552600019,0.026461700267018103,0.12424135251674029,0.5001541856858925,0.017654172104038114,0.042847962162233855,0.2593311403654719,0.004535241563523817,0.003754172885265595,0.051885434559596155,0.010565004617955585,0.018814563139078994,0.41172515800309173,0.003078636455954467,0.7372150345158062,0.6624906259189742,0.001267492328166228
安南區,0.6522308216499325,0.09316739404337662,0.7928002450601351,0.3714411482349559,0.45602405223610387,0.01651266468944181,0.8092012056612351,0.05709238666520953,0.0006648088132596892,0.5888139028826764,0.23639087212040294,0.03687257360776487,0.1019814363894999,0.0,0.6611291841955518,0.8224818651425331,0.057612489381810905,0.24557755141493764,0.09741735422173946,0.04301297641321375,0.0008632356632072038,0.2096414289823753,0.3783106990021471,0.012560330824008172,0.6031895768295201,0.001151883209380122,0.011152093579174335,0.0008714941535895861,0.22918248245039963,0.6049434078224438,0.009781052759607695,9.760760042428472e-05,0.6584092337154034,0.13646147764594455,0.02266885678475264,0.26500688299032715,0.049098112445181974
安定區,0.4417956536831473,0.3713595140823989,0.523884669661426,0.2578893305278252,0.6925897985871756,0.1464477682752965,0.6330013249840704,0.10964653633072259,0.010311474963877645,0.3056613592481979,0.7324363374397177,0.23881897572785635,0.2575170482963218,0.6611291841955518,0.0,0.42771100391287714,0.33386391146568367,0.32582544630304794,0.39776594113757957,0.1602704479271173,0.012765408928438526,0.4721266374976643,0.8207847285988771,0.09113544420749005,0.4740820742997374,0.02135346570327657,0.10362940556524812,0.015781923425723248,0.236176952671527,0.734423950467781,0.08370674618245896,0.0029693910796909557,0.927339360729863,0.19828569179168948,0.1164039805030706,0.6848159089135877,0.1033702218889896
安平區,0.3155059098033332,0.027012668205294976,0.9595861326802931,0.6683621969387942,0.18128855737160232,0.005552810578852115,0.9027139545252383,0.01056498683048118,0.0005462285824727119,0.9126561831641331,0.12691148884389425,0.021427162994371925,0.023649447360268052,0.8224818651425331,0.42771100391287714,0.0,0.02360190393942102,0.07090117755465501,0.0746756921719578,0.0541766781160768,0.00011890778370534734,0.23113817939743603,0.290592508293782,0.0024002668338237282,0.8257034861785308,0.00029981415132272695,0.0027969338394417467,0.0004627958142520526,0.42118236874052856,0.6372291557394301,0.007361514724222735,1.616063197590626e-05,0.35051346967990626,0.24750523172672975,0.004201663027678396,0.10207623034630306,0.09483614815360608
官田區,0.0446880071857844,0.6664625821188465,0.04207131066646066,0.02059009776567255,0.2576994499568444,0.8887653139807917,0.06730510249650687,0.06909134730309577,0.12427983888799536,0.015986719326856517,0.7794996491288916,0.7909922306985541,0.2373577499201217,0.057612489381810905,0.33386391146568367,0.02360190393942102,0.0,0.10496148540965804,0.6046597549192931,0.19032072223539073,0.20758650307355728,0.26253599344260914,0.46443634389895927,0.45499522668061226,0.048650401374661666,0.4325991798183608,0.7193120951581847,0.26548158801847704,0.034792165622122895,0.15703960025981295,0.40586369982565484,0.14338525391937954,0.2885070770245307,0.050101807213139525,0.34080296257450854,0.588418531385917,0.046007118619806935
將軍區,0.6482083957771262,0.40910804209272156,0.07047216364524944,0.011682146332941921,0.8091847013781028,0.0522839335644662,0.09033445929788056,0.7710838276225678,0.00020985266454598734,0.02679690818826792,0.2013088619555125,0.027020029760462645,0.7773632896790057,0.24557755141493764,0.32582544630304794,0.07090117755465501,0.10496148540965804,0.0,0.0332271779672604,0.0039454030150110585,0.029759724619973817,0.026231792854294268,0.12210821298009691,0.17306941854546937,0.03932384398782739,0.00758168559602476,0.07664789255616987,0.0008776532751762311,0.007034001933765696,0.08129395014491471,0.0037108696746629435,0.002195374938958825,0.5387790194676636,0.004454564136210427,0.3294012529977189,0.5327903922497408,0.0013984312943093153
山上區,0.03177518014055753,0.22471197081869018,0.13376290854147976,0.12547260400251148,0.13855385545485585,0.397746337819577,0.18890198178531897,0.01077364204138336,0.2464471385517363,0.0752156600855889,0.710219000175821,0.8517262496705591,0.05427429103543379,0.09741735422173946,0.39776594113757957,0.0746756921719578,0.6046597549192931,0.0332271779672604,0.0,0.7054011908477512,0.022173579027631833,0.7629235231154436,0.746207072688188,0.08002689906209584,0.1908266123904533,0.13225645266764174,0.1998012293412857,0.260008395386538,0.22392759432082865,0.4104143108481496,0.6764868596505842,0.02146384173516347,0.24904281996952574,0.32118538126236684,0.056025573686149514,0.3087138258331104,0.33313672872465583
左鎮區,0.0065016634231947175,0.03792197142621053,0.10393794025149321,0.1768970767438873,0.02741122472531917,0.107186287848669,0.1373526065060977,0.0007493789556413929,0.2925654849694212,0.07780749779273834,0.2728107643482662,0.4630467136754138,0.005723636793310335,0.04301297641321375,0.1602704479271173,0.0541766781160768,0.19032072223539073,0.0039454030150110585,0.7054011908477512,0.0,0.0019004430153246109,0.7599545673697085,0.43290549090968433,0.008856007711196143,0.18747432406348347,0.0308793075519299,0.035571644914149186,0.17108887886763105,0.368584558147236,0.31498595183324996,0.586054249304335,0.003019867241055443,0.07377277049291958,0.5776563595499028,0.005319096936092469,0.0689064809790305,0.7380664034847234
